Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1243,32,May 11,NYY,,ANA,"W,8-7",CG(10),6,6,0,3,1,0,0,2,0,0,1,0,0,0,0,0,1,0,.200,.265,.281,.547,2,1.92,0.321,2.47,0.25%,1.93,SS
1244,33,May 12,NYY,,ANA,"L,2-11",CG,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.209,.272,.295,.566,2,.72,0.094,.94,0.07%,0.59,SS
1245,34,May 13,NYY,,ANA,"W,7-4",CG,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.210,.271,.301,.572,1,.75,-0.002,.99,0.00%,-0.15,SS
1246,35,May 14,NYY,,SEA,"W,9-5",CG,5,5,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,.203,.263,.291,.553,1,1.26,-0.100,1.59,-0.08%,-1.63,SS
1247,36,May 15,NYY,,SEA,"L,7-13",CG(13),7,7,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.200,.257,.284,.541,1,1.60,-0.276,2.02,-0.21%,-1.83,SS
1248,37,May 16,NYY,,SEA,"W,2-1",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.195,.251,.277,.528,2,.68,-0.091,.85,-0.07%,-1.18,SS
1249,38,May 18,NYY,@,ANA,"L,0-1",CG(11),5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,.190,.246,.270,.516,2,1.75,-0.217,2.35,-0.18%,-1.79,SS
1250,39,May 19,NYY,@,ANA,"W,4-2",CG,5,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,.187,.250,.265,.515,1,1.24,0.038,1.59,0.03%,0.20,SS
1251,40,May 20,NYY,@,ANA,"W,6-2",CG,5,5,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.193,.254,.287,.541,1,.45,0.118,.59,0.09%,0.78,SS
1252,41,May 21,NYY,@,TEX,"L,7-9",CG,5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.194,.258,.286,.544,2,1.08,-0.054,1.44,-0.04%,-0.35,SS
1253,42,May 22,NYY,@,TEX,"L,3-4",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.190,.253,.279,.532,2,.93,-0.130,1.25,-0.11%,-1.37,SS
1254,43,May 23,NYY,@,TEX,"W,8-3",CG,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.190,.251,.277,.528,2,.75,-0.029,1.03,-0.02%,-0.30,SS
1255,44,May 25,NYY,@,BAL,"W,11-3",CG,6,6,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,.189,.249,.279,.528,1,.76,-0.072,1.13,-0.07%,-1.35,SS
1256,45,May 26,NYY,@,BAL,"W,12-9",CG,6,5,2,3,2,0,0,1,0,0,1,1,0,0,0,0,1,0,.200,.261,.297,.558,2,1.07,0.278,1.62,0.25%,2.41,SS
1257,46,May 27,NYY,@,BAL,"W,18-5",GS-7,5,4,1,3,2,0,0,2,0,0,0,1,0,0,0,0,0,0,.211,.273,.317,.590,2,.65,0.245,.95,0.22%,2.66,SS
1258,47,May 28,NYY,@,TBD,"W,7-5",CG,5,5,2,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.221,.281,.343,.624,1,.74,0.169,1.02,0.14%,1.54,SS
1259,48,May 29,NYY,@,TBD,"W,5-3",CG,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.220,.279,.340,.618,1,.63,-0.010,.84,-0.01%,0.04,SS
1260,49,May 30,NYY,@,TBD,"L,6-7",CG,5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,.220,.277,.336,.614,1,1.10,0.054,1.41,0.04%,1.15,SS
1261,50,Jun 1,NYY,,BAL,"W,8-7",CG,5,5,2,4,1,0,2,3,0,0,0,0,0,0,0,1,0,0,.233,.288,.379,.667,1,.85,0.169,1.31,0.16%,2.31,SS
1262,51,Jun 2,NYY,,BAL,"W,6-5",CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.233,.288,.390,.678,1,.71,0.061,1.06,0.05%,0.31,SS
1263,52,Jun 3,NYY,,BAL,"W,5-2",CG,4,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,.231,.288,.387,.675,2,1.21,-0.031,1.75,-0.03%,-0.28,SS
1264,53,Jun 4,NYY,,TEX,"W,7-6",GS-4,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.233,.290,.388,.677,1,.83,0.011,1.09,0.01%,0.14,SS
1265,57 (3),Jun 9,NYY,,COL,"W,7-5",CG,5,4,2,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,.234,.292,.398,.690,1,1.20,0.252,1.33,0.17%,0.95,SS
1266,58,Jun 10,NYY,,COL,"W,10-4",GS-9,5,3,2,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,.235,.298,.397,.695,1,.58,0.018,.59,0.01%,1.09,SS
1267,59,Jun 11,NYY,,SDP,"L,2-10",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.235,.297,.395,.692,1,.61,-0.038,.62,-0.02%,-0.36,SS
1268,60,Jun 12,NYY,,SDP,"W,3-2",CG,4,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.244,.304,.401,.705,2,1.07,0.168,1.20,0.11%,1.28,SS
1269,61,Jun 13,NYY,,SDP,"W,6-5",CG(12),6,5,1,2,1,0,0,0,1,0,2,0,0,0,0,0,1,0,.247,.309,.405,.713,2,2.19,0.152,2.31,0.10%,0.69,SS
1270,62,Jun 15,NYY,@,ARI,"W,4-2",CG,5,4,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,.255,.315,.410,.725,2,1.37,0.082,1.32,0.05%,0.99,SS
1271,63,Jun 16,NYY,@,ARI,"W,9-4",CG,5,4,2,2,0,0,1,2,0,0,1,1,0,0,1,0,0,0,.259,.320,.424,.744,2,.47,0.126,.41,0.07%,2.61,SS
1272,64,Jun 17,NYY,@,ARI,"L,1-6",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.316,.417,.733,2,1.62,-0.170,1.18,-0.07%,-1.34,SS
1273,65,Jun 18,NYY,@,LAD,"L,3-6",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.315,.414,.729,2,1.15,-0.025,.96,-0.01%,-0.07,SS
1274,66,Jun 19,NYY,@,LAD,"W,6-2",CG,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,.255,.316,.412,.728,2,.56,-0.012,.52,-0.01%,-0.20,SS
1275,67,Jun 20,NYY,@,LAD,"L,4-5",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.315,.410,.725,2,.98,-0.078,.83,-0.04%,-0.55,SS
1276,68,Jun 22,NYY,@,BAL,"W,10-4",CG,6,5,3,2,0,0,1,3,1,0,2,0,0,0,0,1,0,0,.257,.319,.420,.739,2,.95,0.199,.89,0.11%,1.66,SS
1277,69,Jun 23,NYY,@,BAL,"L,2-13",GS-8,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.254,.315,.414,.729,2,.70,-0.040,.61,-0.02%,0.17,SS
1278,70,Jun 24,NYY,@,BAL,"W,5-2",CG,5,5,2,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,.256,.316,.425,.741,2,.65,0.202,.58,0.11%,1.34,SS
1279,71,Jun 26,NYY,,NYM,"L,3-9",CG,5,4,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.260,.321,.429,.750,2,.73,0.037,.61,0.02%,0.66,SS
1280,72,Jun 27 (1),NYY,,NYM,"W,8-1",CG,4,4,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,.266,.326,.454,.780,2,.36,0.151,.35,0.09%,2.22,SS
1281,73,Jun 27 (2),NYY,,NYM,"W,11-6",CG,5,4,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,.266,.327,.451,.778,2,.39,0.041,.34,0.02%,0.34,SS
1282,74,Jun 29,NYY,,BOS,"W,11-3",CG,5,5,2,3,0,0,0,1,0,0,0,0,0,0,1,0,2,0,.272,.331,.454,.785,2,1.08,0.169,1.10,0.10%,3.25,SS
1283,75,Jun 30,NYY,,BOS,"W,4-2",CG,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.272,.331,.452,.784,2,1.57,-0.040,1.35,-0.02%,-0.53,SS
1284,76,Jul 1,NYY,,BOS,"W,5-4",GS-12,5,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.272,.332,.450,.782,2,1.32,-0.012,1.01,-0.01%,-0.47,SS
1285,77,Jul 2,NYY,@,NYM,"L,2-11",GS-8,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,.271,.335,.448,.784,2,.55,0.018,.27,0.01%,0.61,SS
1286,78,Jul 3,NYY,@,NYM,"L,9-10",CG,5,5,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.273,.336,.451,.787,2,1.62,-0.001,.87,0.00%,0.48,SS
1287,79,Jul 4,NYY,@,NYM,"L,5-6",CG,5,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.278,.340,.453,.793,2,1.52,0.060,.94,0.02%,0.39,SS
1288,80,Jul 5,NYY,,DET,"W,10-3",CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.275,.338,.448,.786,2,.41,-0.040,.28,-0.02%,-0.69,SS
1289,81,Jul 6,NYY,,DET,"L,1-9",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.274,.337,.448,.785,2,.45,-0.028,.26,-0.01%,-0.50,SS
1290,82,Jul 7,NYY,,DET,"L,8-10",CG,5,4,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,.274,.336,.446,.782,2,1.04,-0.118,.74,-0.05%,-0.19,SS
1291,83,Jul 8,NYY,,TBD,"W,7-1",CG,5,5,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,.276,.337,.451,.788,2,.87,0.160,.85,0.09%,1.30,SS
1292,84,Jul 9,NYY,,TBD,"W,5-4",CG,5,4,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,.279,.339,.452,.790,2,1.23,0.061,1.08,0.03%,0.41,SS
1293,85,Jul 10,NYY,,TBD,"W,6-3",CG,4,4,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,.278,.338,.452,.790,2,1.93,0.227,1.46,0.10%,1.81,SS
1294,86,Jul 11,NYY,,TBD,"W,10-3",CG,5,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.277,.336,.451,.787,2,.38,-0.019,.26,-0.01%,-0.82,SS
1295,87,Jul 15,NYY,@,DET,"W,5-1",CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.277,.335,.458,.793,2,.44,0.084,.22,0.03%,0.41,SS
1296,88,Jul 16,NYY,@,DET,"L,0-8",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.274,.332,.453,.784,2,.32,-0.032,.13,-0.01%,-0.62,SS
1297,89,Jul 17,NYY,@,DET,"W,5-3",CG,5,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.275,.332,.452,.784,2,1.00,0.013,.49,0.00%,-0.16,SS
1298,90,Jul 18,NYY,@,DET,"L,2-4",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.275,.332,.452,.784,2,1.13,0.013,.46,0.00%,-0.04,SS
1299,91,Jul 19,NYY,@,TBD,"L,7-9",CG,5,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.277,.333,.454,.787,2,.92,0.024,.47,0.01%,0.45,SS
1300,92,Jul 20,NYY,@,TBD,"W,4-2",GS-8,4,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,.278,.337,.455,.791,2,.98,0.139,.54,0.05%,1.29,SS
1301,95 (2),Jul 23,NYY,@,BOS,"W,8-7",CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.274,.333,.449,.781,2,1.65,-0.231,.62,-0.05%,-2.06,SS
1302,96,Jul 24,NYY,@,BOS,"L,10-11",CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.274,.333,.446,.780,2,.99,-0.013,.28,0.00%,-0.10,SS
1303,97,Jul 25,NYY,@,BOS,"L,6-9",CG,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.271,.330,.442,.772,2,.99,-0.142,.36,-0.03%,-1.92,SS
1304,98,Jul 26,NYY,@,TOR,"W,6-5",CG(10),5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.273,.331,.441,.772,2,.69,-0.054,.23,-0.01%,-0.87,SS
1305,99,Jul 27,NYY,@,TOR,"W,7-4",CG,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.272,.329,.438,.768,2,1.27,0.044,.39,0.01%,-0.35,SS
1306,100,Jul 28,NYY,@,TOR,"L,2-3",CG(10),5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.326,.433,.759,2,.91,-0.122,.22,-0.02%,-0.98,SS
1307,101,Jul 29,NYY,,BAL,"L,1-9",CG,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.267,.323,.430,.753,2,.56,-0.043,.16,-0.01%,-0.83,SS
1308,102,Jul 30,NYY,,BAL,"W,2-1",CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.269,.325,.430,.755,2,.90,0.029,.32,0.01%,0.13,SS
1309,103,Jul 31,NYY,,BAL,"W,6-4",CG,4,3,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,.269,.327,.434,.761,2,1.15,0.136,.34,0.02%,1.52,SS
1310,104,Aug 1,NYY,,BAL,"W,9-7",CG,5,5,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.273,.330,.436,.766,2,.85,0.128,.20,0.02%,0.98,SS
1311,105,Aug 3,NYY,,OAK,"L,4-13",GS-9,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.276,.331,.437,.768,2,1.06,0.008,.22,0.00%,0.32,SS
1312,106,Aug 4,NYY,,OAK,"W,8-6",CG(11),6,5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.277,.332,.437,.769,2,1.47,-0.037,.49,-0.01%,-0.66,SS
1313,107,Aug 5,NYY,,OAK,"W,5-1",CG,5,4,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,.277,.333,.437,.770,2,.43,0.017,.10,0.00%,0.75,SS
1314,108,Aug 6,NYY,,TOR,"W,11-4",CG,5,4,2,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,.281,.338,.445,.782,2,.55,0.164,.08,0.02%,2.35,SS
1315,109,Aug 7,NYY,,TOR,"W,6-0",CG,5,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.281,.340,.444,.784,2,.55,0.039,.06,0.00%,0.46,SS
