Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1359,1,Mar 28,NYY,,BAL,"W,7-2",CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.000,.200,.000,.200,1,.36,-0.022,.39,-0.01%,-0.66,4.00,6.20,CF
1360,2,Mar 30,NYY,,BAL,"L,3-5",CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.100,.000,.100,1,1.38,-0.179,1.55,-0.12%,-1.68,0.00,0.00,CF
1361,3,Mar 31,NYY,,BAL,"L,5-7",GS-9,5,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,.077,.200,.077,.277,1,1.73,0.120,1.81,0.08%,0.94,7.00,9.50,CF
1362,4,Apr 1,NYY,,DET,"W,3-1",CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,.176,.263,.353,.616,1,.73,0.116,.67,0.06%,1.06,22.00,27.70,CF
1363,5,Apr 2,NYY,,DET,"L,1-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.217,.286,.503,1,1.04,-0.115,.95,-0.06%,-1.05,0.00,0.00,CF
1364,6,Apr 3,NYY,,DET,"L,1-2",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,1,.143,.217,.286,.503,3,2.46,-0.071,2.20,-0.04%,-0.25,0.00,0.00,PR DH
1365,7,Apr 4,NYY,@,BAL,"W,8-4",CG,5,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.200,.286,.320,.606,1,.98,0.015,.95,0.01%,0.51,10.00,12.20,CF
1366,8,Apr 6,NYY,@,BAL,"W,6-4",CG,5,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.273,.333,.606,1,.73,-0.033,.75,-0.02%,-0.59,7.00,9.20,CF
1367,9,Apr 7,NYY,@,BAL,"W,15-3",CG,6,3,2,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,.212,.333,.364,.697,1,.35,0.022,.39,0.02%,1.31,15.00,21.40,CF
1368,10,Apr 8,NYY,@,HOU,"L,3-4",CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.211,.318,.342,.660,1,1.36,-0.040,1.36,-0.02%,-0.08,8.00,9.00,CF
1369,11,Apr 9,NYY,@,HOU,"L,3-6",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.195,.313,.317,.630,1,1.54,-0.129,1.49,-0.08%,-1.33,4.00,6.20,CF
1370,12,Apr 10,NYY,@,HOU,"L,6-8",CG,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.196,.302,.370,.671,1,1.01,-0.022,.94,-0.01%,-0.26,14.00,18.70,CF
1371,13,Apr 12,NYY,,CHW,"L,6-9",CG(7),4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.200,.298,.420,.718,1,1.41,-0.021,1.20,-0.01%,-0.35,14.00,18.70,CF
1372,14,Apr 13,NYY,,CHW,"W,4-0",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.204,.295,.407,.702,1,.82,-0.029,.68,-0.01%,-0.37,3.00,3.00,CF
1373,15,Apr 14,NYY,,CHW,"L,2-5",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.190,.277,.379,.656,6,.82,-0.085,.69,-0.04%,-0.87,0.00,0.00,CF
1374,16,Apr 16,NYY,,BOS,"W,8-0",CG,4,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.200,.304,.400,.704,7,.39,0.062,.34,0.03%,0.97,13.00,18.40,CF
1375,17,Apr 17,NYY,,BOS,"W,5-3",CG,4,4,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,.203,.301,.438,.739,1,1.85,0.398,1.68,0.22%,2.07,20.00,29.20,CF
1376,18,Apr 18,NYY,,KCR,"L,1-6",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.191,.286,.412,.697,1,1.01,-0.103,.89,-0.05%,-1.00,0.00,0.00,CF
1377,19,Apr 19,NYY,,KCR,"W,6-2",CG,4,2,1,1,0,0,1,2,1,0,0,1,0,0,0,0,1,0,.200,.309,.457,.766,1,.57,0.234,.48,0.12%,2.44,25.00,34.20,CF
1378,21 (1),Apr 21,NYY,,KCR,"W,7-6",CG(10),5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.227,.326,.467,.792,3,.69,0.022,.67,0.01%,0.23,11.00,12.20,CF
1379,22,Apr 22,NYY,@,LAA,"W,4-3",CG(14),6,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.215,.326,.443,.769,1,1.52,-0.054,1.53,-0.03%,-0.25,4.00,6.00,CF
1380,23,Apr 23,NYY,@,LAA,"W,7-5",CG,5,5,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.250,.351,.500,.851,3,.45,0.104,.47,0.07%,2.16,21.00,24.20,CF
1381,24,Apr 24,NYY,@,LAA,"W,6-5",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.239,.337,.477,.814,3,1.74,-0.254,1.89,-0.17%,-2.11,0.00,0.00,CF
1382,25,Apr 25,NYY,@,LAA,"L,5-11",CG,5,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.239,.340,.467,.807,3,.98,-0.046,1.09,-0.03%,0.73,9.00,12.70,CF
1383,26,Apr 26,NYY,@,SFG,"W,7-3",7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.237,.336,.462,.799,9,.29,-0.008,.32,-0.01%,-0.24,0.00,0.00,CF
1384,27,Apr 27,NYY,@,SFG,"W,6-4",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.229,.333,.448,.781,6,.44,-0.048,.50,-0.03%,-0.42,2.00,3.00,CF
1385,28,Apr 28,NYY,@,SFG,"W,11-5",CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.220,.328,.430,.758,3,.56,0.046,.65,0.03%,-0.61,2.00,3.00,CF
1386,29,Apr 30,NYY,@,ARI,"L,1-3",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.221,.325,.423,.748,1,.81,-0.036,.93,-0.03%,-0.21,3.00,3.00,CF
1387,30,May 1,NYY,@,ARI,"L,2-3",CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.220,.320,.413,.733,1,1.68,-0.173,1.86,-0.12%,-1.00,3.00,3.00,CF
