Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1415,60,Jun 5,NYY,@,TOR,"L,7-11",CG,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.225,.302,.420,.722,7,1.45,-0.141,1.62,-0.10%,-1.25,2.00,3.20,LF CF
1416,62 (1),Jun 7,NYY,@,CLE,"L,2-5",CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.298,.414,.712,9,1.26,-0.101,1.51,-0.07%,-0.93,0.00,0.00,LF
1417,63,Jun 8,NYY,@,CLE,"L,4-8",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.217,.293,.406,.699,1,.91,-0.097,1.12,-0.07%,-0.99,0.00,0.00,LF
1418,64,Jun 9,NYY,@,CLE,"W,7-6",CG(10),5,5,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.217,.291,.415,.706,7,1.01,0.068,1.27,0.05%,0.32,16.00,22.20,LF
1419,65,Jun 11 (1),NYY,,NYM,"W,12-5",CG,4,3,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,.223,.299,.428,.727,9,.50,0.056,.57,0.04%,1.60,17.00,21.70,LF
1420,66,Jun 11 (2),NYY,,NYM,"L,4-10",CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.228,.302,.443,.745,9,.32,-0.006,.36,0.00%,0.91,17.00,21.70,CF
1421,67,Jun 13,NYY,@,CHW,"L,4-5",CG,4,4,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.229,.301,.453,.754,7,1.69,0.013,2.10,0.01%,1.05,18.00,25.40,LF
1422,68,Jun 14,NYY,@,CHW,"L,2-10",GS-7,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.227,.299,.449,.748,9,.47,-0.025,.61,-0.02%,-0.36,0.00,0.00,LF
1423,69,Jun 15,NYY,@,CHW,"W,8-4",CG,4,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.226,.306,.447,.753,9,.33,0.027,.43,0.02%,0.80,10.00,15.40,LF
1424,70,Jun 16,NYY,@,CHW,"W,10-3",CG,5,4,2,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,.230,.312,.448,.759,5,1.15,0.156,1.53,0.12%,2.46,20.00,29.40,CF
